gene	gene_id	chromosome	start_position	end_position	oe_lof	oe_lof_lower	oe_lof_upper	oe_lof_upper_bin	p_cnv	p_dnw	p_mupit	min_p	p_comb	p_comb_adj_ihw	p_comb_fdr
MED26	ENSG00000105085	19	16685718	16739873	0.14875	0.067	0.384	1	0.039996	1	1	1	0.168742157291422	1	1
MEOX2	ENSG00000106511	7	15650837	15726437	0.081198	0.028	0.385	1	1	1	1	1	1	1	1
CLDN11	ENSG00000013297	3	170136653	170578169	0	0	0.385	1	1	1	1	1	1	1	1
IARS2	ENSG00000067704	1	220267444	220321380	0.24648	0.162	0.385	1	0.567843	1	1	1	0.889191206412116	1	1
IGFBP3	ENSG00000146674	7	45951949	45961473	0	0	0.385	1	0.563744	1	1	1	0.886856709929901	1	1
GABRB2	ENSG00000145864	5	160715436	160976050	0.16807	0.082	0.385	1	1	1	1	1	1	1	1
GABRG3	ENSG00000182256	15	27216429	27778373	0.16835	0.082	0.385	1	1	1	1	1	1	1	1
PLXNB1	ENSG00000164050	3	48445261	48471594	0.27549	0.2	0.385	1	0.264374	1	1	1	0.616094661138764	1	1
RPL27A	ENSG00000166441	11	8703958	8736306	0	0	0.385	1	1	1	1	1	1	1	1
WIPF1	ENSG00000115935	2	175424300	175547644	0.12244	0.049	0.385	1	0.00479952	1	1	1	0.0304253061222337	1	0.437837032705038
SYP	ENSG00000102003	X	49044269	49056718	0.081077	0.028	0.385	1	1	1	1	1	1	1	1
KCNAB2	ENSG00000069424	1	6051526	6161253	0.18315	0.095	0.385	1	9.999e-05	1	1	1	0.00102094193329388	1	0.0404938477137244
NGEF	ENSG00000066248	2	233743396	233877982	0.20471	0.115	0.385	1	0.119688	1	1	1	0.373769696168739	1	1
PMP22	ENSG00000109099	17	15133095	15168643	0	0	0.386	1	0.163084	1	1	1	0.458835182528698	1	1
TMCC1	ENSG00000172765	3	129366635	129612419	0.16858	0.082	0.386	1	1	1	1	1	1	1	1
NEK7	ENSG00000151414	1	198126093	198291550	0.14917	0.067	0.386	1	1	1	1	1	1	1	1
GRIN3A	ENSG00000198785	9	104331635	104500862	0.22095	0.132	0.386	1	0.218878	1	1	1	0.551406383886229	1	1
LRFN1	ENSG00000128011	19	39797208	39805976	0.12249	0.049	0.386	1	1	1	1	1	1	1	1
SCRT2	ENSG00000215397	20	642240	656823	0	0	0.386	1	0.343266	1	1	1	0.710303040802014	1	1
ALCAM	ENSG00000170017	3	105085753	105295744	0.19542	0.106	0.386	1	0.342966	1	1	1	0.709982134783487	1	1
PCBP3	ENSG00000183570	21	47063608	47362368	0.16887	0.082	0.386	1	0.269773	0.00509073993845416	0.00891792137592064	0.00509073993845416	0.0104243779693248	1	0.214627244521752
DCTN4	ENSG00000132912	5	150088002	150138671	0.19546	0.106	0.386	1	1	1	1	1	1	1	1
NDUFS7	ENSG00000115286	19	1383526	1395583	0.081367	0.028	0.386	1	1	1	1	1	1	1	1
EIF1AX	ENSG00000173674	X	20142636	20159962	0	0	0.386	1	1	1	1	1	1	1	1
PSMB2	ENSG00000126067	1	36067185	36107445	0.081419	0.028	0.386	1	1	1	1	1	1	1	1
VCAM1	ENSG00000162692	1	101185298	101204601	0.18336	0.095	0.386	1	1	1	1	1	1	1	1
LRFN4	ENSG00000173621	11	66624118	66627946	0.081648	0.028	0.387	1	0.339266	1	1	1	0.706002645716021	1	1
GRASP	ENSG00000161835	12	52400724	52409673	0.12283	0.049	0.387	1	1	1	1	1	1	1	1
PCBP1	ENSG00000169564	2	70314585	70316332	0	0	0.387	1	0.350565	1	1	1	0.718030437284357	1	1
TMEM132C	ENSG00000181234	12	128751948	129192460	0.20624	0.116	0.387	1	0.423058	1	1	1	0.786991949516487	1	1
ABCC5	ENSG00000114770	3	183637722	183735803	0.26636	0.186	0.387	1	0.116988	1	1	1	0.368007269678037	1	1
DOCK10	ENSG00000135905	2	225629807	225907162	0.29051	0.22	0.387	1	1	1	0.0398406915241985	0.0398406915241985	0.168241921131394	1	1
ALB	ENSG00000163631	4	74262831	74287129	0.20593	0.116	0.387	1	1	1	1	1	1	1	1
MYOCD	ENSG00000141052	17	12569207	12672266	0.22834	0.14	0.387	1	1	1	1	1	1	1	1
KCNH1	ENSG00000143473	1	210856555	211307457	0.21435	0.125	0.387	1	1	1	1	1	1	1	1
MAGI3	ENSG00000081026	1	113933371	114228545	0.25484	0.172	0.387	1	1	1	1	1	1	1	1
VANGL2	ENSG00000162738	1	160370376	160398468	0.16893	0.082	0.387	1	0.349565	1	1	1	0.716980800516892	1	1
POMP	ENSG00000132963	13	29233241	29253062	0	0	0.387	1	1	1	1	1	1	1	1
PHC2	ENSG00000134686	1	33789224	33896653	0.21434	0.125	0.387	1	1	1	1	1	1	1	1
RPL10	ENSG00000147403	X	153618315	153637504	0	0	0.387	1	1	1	1	1	1	1	1
GATA3	ENSG00000107485	10	8095567	8117161	0.12337	0.049	0.388	1	1	1	1	1	1	1	1
APBA1	ENSG00000107282	9	72042446	72287222	0.21493	0.125	0.388	1	1	1	1	1	1	1	1
SPIB	ENSG00000269404	19	50922195	50934570	0.081791	0.028	0.388	1	1	1	1	1	1	1	1
ACER3	ENSG00000078124	11	76571911	76737841	0.1502	0.067	0.388	1	1	1	1	1	1	1	1
ZBTB33	ENSG00000177485	X	119384607	119392253	0.081705	0.028	0.388	1	1	1	1	1	1	1	1
FLCN	ENSG00000154803	17	17115526	17140502	0.18435	0.095	0.388	1	0.343066	1	1	1	0.710089132602409	1	1
WNT9A	ENSG00000143816	1	228106357	228135599	0.081804	0.028	0.388	1	0.344466	1	1	1	0.711584045289783	1	1
UBE4A	ENSG00000110344	11	118230300	118269926	0.24411	0.158	0.388	1	1	1	1	1	1	1	1
MYEF2	ENSG00000104177	15	48431625	48470714	0.20654	0.116	0.388	1	0.569343	0.0431243009373736	1	0.0431243009373736	0.115567253503425	1	1
BTBD2	ENSG00000133243	19	1985447	2034880	0.15007	0.067	0.388	1	0.110889	1	1	1	0.354758925119218	1	1
HERC3	ENSG00000138641	4	89442199	89629693	0.24835	0.163	0.388	1	0.336466	1	1	1	0.702964341150303	1	1
PRKCH	ENSG00000027075	14	61654277	62017694	0.2224	0.133	0.388	1	1	1	1	1	1	1	1
EPN1	ENSG00000063245	19	56186592	56221224	0.18469	0.096	0.388	1	1	1	1	1	1	1	1
PLEKHA2	ENSG00000169499	8	38758753	38831428	0.16961	0.083	0.388	1	1	1	1	1	1	1	1
PNRC1	ENSG00000146278	6	89790470	89794879	0	0	0.389	1	0.117688	1	1	1	0.36950715835014	1	1
WSCD2	ENSG00000075035	12	108523248	108644314	0.18503	0.096	0.389	1	1	1	1	1	1	1	1
PVRL4	ENSG00000143217	1	161040785	161059389	0.17	0.083	0.389	1	0.349565	1	1	1	0.716980800516892	1	1
PIKFYVE	ENSG00000115020	2	209130991	209223475	0.2936	0.223	0.389	1	1	1	1	1	1	1	1
ETS1	ENSG00000134954	11	128328656	128457453	0.18514	0.096	0.389	1	9.999e-05	1	0.0102227922576636	0.0102227922576636	1.51216529941552e-05	0.182067275156497	0.00906296763929432
HAT1	ENSG00000128708	2	172778958	172848599	0.17003	0.083	0.389	1	0.039896	1	1	1	0.168420134591616	1	1
PROSER1	ENSG00000120685	13	39584003	39612252	0.19724	0.107	0.389	1	0.335366	1	1	1	0.701764357093522	1	1
ARX	ENSG00000004848	X	25021811	25034065	0	0	0.389	1	1	1	1	1	1	1	1
RWDD1	ENSG00000111832	6	116892530	116918838	0.082234	0.028	0.39	1	0.0405959	1	1	1	0.170668744267805	1	1
ZC4H2	ENSG00000126970	X	64136250	64254593	0	0	0.39	1	1	1	1	1	1	1	1
SPTLC2	ENSG00000100596	14	77972340	78083116	0.18527	0.096	0.39	1	1	1	1	1	1	1	1
C1R	ENSG00000159403	12	7187513	7245203	0.18543	0.096	0.39	1	1	1	1	1	1	1	1
TMEM135	ENSG00000166575	11	86748886	87034800	0.18546	0.096	0.39	1	0.267973	1	1	1	0.620858349886124	1	1
SRPR	ENSG00000182934	11	126132814	126139039	0.18549	0.096	0.39	1	9.999e-05	1	1	1	0.00102094193329388	1	0.0404938477137244
RAP1B	ENSG00000127314	12	69004619	69054372	0.082315	0.028	0.39	1	1	1	1	1	1	1	1
ADAMTS9	ENSG00000163638	3	64501333	64673676	0.29427	0.224	0.39	1	1	1	1	1	1	1	1
RAB18	ENSG00000099246	10	27793197	27831143	0.08229	0.028	0.39	1	0.00459954	1	1	1	0.0293533396827111	1	0.432128881816722
B3GALT2	ENSG00000162630	1	193148175	193155784	0.1239	0.05	0.39	1	1	1	1	1	1	1	1
PIK3R4	ENSG00000196455	3	130397779	130465673	0.25701	0.173	0.39	1	1	1	1	1	1	1	1
UBE2J2	ENSG00000160087	1	1189289	1209265	0.082362	0.028	0.391	1	9.999e-05	1	1	1	0.00102094193329388	1	0.0404938477137244
LONRF1	ENSG00000154359	8	12579403	12613582	0.20815	0.117	0.391	1	1	0.0426942846074187	1	0.0426942846074187	0.177338832323384	1	1
AURKA	ENSG00000087586	20	54944445	54967393	0.15147	0.068	0.391	1	1	1	1	1	1	1	1
TCEA1	ENSG00000187735	8	54879112	54935089	0.12413	0.05	0.391	1	1	1	1	1	1	1	1
PARP8	ENSG00000151883	5	49961733	50142356	0.25042	0.164	0.391	1	0.112889	1	1	1	0.359139447686838	1	1
PRKCQ	ENSG00000065675	10	6469105	6622263	0.23072	0.141	0.391	1	1	1	1	1	1	1	1
BLNK	ENSG00000095585	10	97951458	98031344	0.2082	0.117	0.391	1	0.118588	1	1	1	0.371429472188223	1	1
PIK3R5	ENSG00000141506	17	8782233	8869029	0.23052	0.141	0.391	1	1	1	1	1	1	1	1
FGF14	ENSG00000102466	13	102372134	103054124	0.082552	0.028	0.392	1	0.358764	1	1	1	0.726529563937104	1	1
NAP1L4	ENSG00000205531	11	2965667	3013607	0.18622	0.096	0.392	1	1	1	1	1	1	1	1
WDR47	ENSG00000085433	1	109512836	109584850	0.23107	0.142	0.392	1	1	1	1	1	1	1	1
RP11-603J24.9	ENSG00000257411	12	56495115	56503073	0	0	0.392	1	1	1	1	1	1	1	1
ZNRF1	ENSG00000186187	16	75032928	75144892	0	0	0.392	1	0.336466	1	1	1	0.702964341150303	1	1
ADNP2	ENSG00000101544	18	77866915	77905406	0.19856	0.108	0.392	1	0.342966	1	1	1	0.709982134783487	1	1
SPOCK1	ENSG00000152377	5	136310987	136934068	0.1713	0.083	0.392	1	1	1	1	1	1	1	1
BMP10	ENSG00000163217	2	69092613	69098649	0.082659	0.028	0.392	1	0.350565	1	1	1	0.718030437284357	1	1
PKN1	ENSG00000123143	19	14543865	14582679	0.23697	0.148	0.392	1	0.273373	1	1	1	0.62791539611704	1	1
KCNA3	ENSG00000177272	1	111214310	111217655	0.12446	0.05	0.392	1	1	0.00868493627420293	0.0104384218007532	0.00868493627420293	0.0499050787286979	1	0.624464191019355
FOXB1	ENSG00000171956	15	60296421	60353929	0	0	0.392	1	1	1	1	1	1	1	1
PLEC	ENSG00000178209	8	144989321	145050902	0.31275	0.251	0.392	1	0.00109989	1	1	1	0.0085929402346345	1	0.194199652979035
CELF3	ENSG00000159409	1	151674880	151689290	0.18662	0.097	0.392	1	1	1	1	1	1	1	1
SNRPE	ENSG00000182004	1	203830731	203839678	0	0	0.392	1	1	1	1	1	1	1	1
MARCH5	ENSG00000198060	10	94050920	94113721	0.12458	0.05	0.392	1	0.336766	0.0236048894028555	1	0.0236048894028555	0.0463816703206081	1	0.592725138040384
RPL23A	ENSG00000198242	17	27046411	27051377	0	0	0.393	1	1	1	1	1	1	1	1
PTAR1	ENSG00000188647	9	72324438	72374875	0.15203	0.068	0.393	1	1	1	1	1	1	1	1
MGAT4B	ENSG00000161013	5	179224597	179233952	0.19891	0.108	0.393	1	1	1	1	1	1	1	1
SYDE1	ENSG00000105137	19	15218214	15225799	0.18677	0.097	0.393	1	0.117688	1	1	1	0.36950715835014	1	1
GTF2E1	ENSG00000153767	3	120461484	120501916	0.12478	0.05	0.393	1	1	1	1	1	1	1	1
CDH7	ENSG00000081138	18	63417488	63548638	0.20913	0.118	0.393	1	1	1	1	1	1	1	1
GNAI2	ENSG00000114353	3	50263724	50296787	0.12489	0.05	0.393	1	0.337966	1	1	1	0.704594889793547	1	1
APLP2	ENSG00000084234	11	129939732	130014699	0.22544	0.135	0.393	1	9.999e-05	1	1	1	0.00102094193329388	1	0.0404938477137244
SPARC	ENSG00000113140	5	151040657	151066726	0.12499	0.05	0.393	1	1	1	1	1	1	1	1
CSF1R	ENSG00000182578	5	149432854	149492935	0.24269	0.155	0.393	1	1	1	1	1	1	1	1
ARGLU1	ENSG00000134884	13	107194021	107220512	0.15249	0.068	0.394	1	9.999e-05	1	0.0105550751790795	0.0105550751790795	1.5579409912836e-05	0.187578746349525	0.00906296763929432
CTPS2	ENSG00000047230	X	16606126	16731059	0.1722	0.084	0.394	1	1	1	1	1	1	1	1
ONECUT2	ENSG00000119547	18	55102917	55158529	0.08296	0.028	0.394	1	0.340666	0.0072892913072118	0.00858468333982761	0.0072892913072118	0.017378030438663	1	0.298930152626356
NR1D1	ENSG00000126368	17	38249040	38256978	0.17237	0.084	0.394	1	0.339266	1	1	1	0.706002645716021	1	1
C18orf25	ENSG00000152242	18	43753519	43846949	0.12521	0.05	0.394	1	1	1	1	1	1	1	1
CAPN6	ENSG00000077274	X	110488331	110513751	0.17223	0.084	0.394	1	1	1	1	1	1	1	1
CLCN7	ENSG00000103249	16	1494935	1525581	0.23247	0.142	0.394	1	0.0132987	1	1	1	0.0707502674897811	1	0.769735870491773
FOXN4	ENSG00000139445	12	109715784	109747025	0.15271	0.069	0.395	1	1	1	1	1	1	1	1
NCLN	ENSG00000125912	19	3185561	3209573	0.18791	0.097	0.395	1	0.329367	1	1	1	0.695156275157712	1	1
OPN5	ENSG00000124818	6	47749718	47800516	0.15277	0.069	0.395	1	0.338066	1	1	1	0.704703355998645	1	1
TNIP1	ENSG00000145901	5	150409506	150473138	0.21879	0.127	0.395	1	1	1	1	1	1	1	1
PRKCA	ENSG00000154229	17	64298754	64806861	0.22621	0.135	0.395	1	1	1	1	1	1	1	1
TXNL1	ENSG00000091164	18	54264439	54318831	0.12551	0.05	0.395	1	1	1	1	1	1	1	1
SLC12A6	ENSG00000140199	15	34525460	34630261	0.26327	0.179	0.395	1	1	1	1	1	1	1	1
ZNF287	ENSG00000141040	17	16454701	16472520	0.21016	0.119	0.395	1	0.272073	1	1	1	0.626226306640077	1	1
PHF14	ENSG00000106443	7	11013499	11209250	0.23299	0.143	0.395	1	1	1	1	1	1	1	1
PARP14	ENSG00000173193	3	122399465	122449687	0.26639	0.183	0.395	1	1	1	1	1	1	1	1
SOGA3	ENSG00000214338	6	127759551	127840500	0.19993	0.108	0.395	1	0.117988	1	1	1	0.370148691774899	1	1
PDE4B	ENSG00000184588	1	66258197	66840259	0.21886	0.127	0.395	1	0.339366	1	1	1	0.706110728061622	1	1
GNA11	ENSG00000088256	19	3094408	3124002	0.12543	0.05	0.395	1	1	1	1	1	1	1	1
VPS18	ENSG00000104142	15	41186628	41196173	0.21876	0.127	0.395	1	1	1	1	1	1	1	1
ZNF367	ENSG00000165244	9	99148223	99180611	0.083249	0.029	0.395	1	0.117488	1	1	1	0.369079044668124	1	1
URGCP	ENSG00000106608	7	43915493	43966010	0.21048	0.119	0.395	1	0.0388961	1	1	1	0.165186341439598	1	1
HSPA14	ENSG00000187522	10	14880163	14913740	0.20037	0.109	0.395	1	1	1	1	1	1	1	1
FAM58A	ENSG00000147382	X	152853377	152865500	0	0	0.396	1	1	1	1	1	1	1	1
WDR82	ENSG00000164091	3	52288437	52322036	0.12595	0.05	0.396	1	1	1	1	1	1	1	1
CABP1	ENSG00000157782	12	121078355	121105127	0.12576	0.05	0.396	1	1	1	1	1	1	1	1
PLAA	ENSG00000137055	9	26904081	26947461	0.21923	0.128	0.396	1	1	1	1	1	1	1	1
RPS14	ENSG00000164587	5	149822753	149829319	0	0	0.396	1	1	1	1	1	1	1	1
AXIN2	ENSG00000168646	17	63524681	63557765	0.21102	0.119	0.396	1	1	1	1	1	1	1	1
VCL	ENSG00000035403	10	75757872	75879918	0.25352	0.166	0.396	1	1	1	1	1	1	1	1
EXOC6B	ENSG00000144036	2	72403113	73053170	0.24462	0.156	0.396	1	0.416858	1	1	1	0.781612769659128	1	1
ERBB2	ENSG00000141736	17	37844167	37886679	0.26765	0.184	0.397	1	1	1	1	1	1	1	1
AKAP8	ENSG00000105127	19	15464196	15490609	0.20113	0.109	0.397	1	0.117688	1	1	1	0.36950715835014	1	1
PPP6C	ENSG00000119414	9	127908852	127952218	0.1536	0.069	0.397	1	1	1	1	1	1	1	1
ABCC1	ENSG00000103222	16	16043434	16236931	0.27593	0.195	0.397	1	0.555544	1	1	1	0.88209691040176	1	1
TRIM39-RPP21	ENSG00000248167	6	30297359	30314631	0.18901	0.098	0.397	1	1	1	1	1	1	1	1
MAFB	ENSG00000204103	20	39314488	39317880	0	0	0.397	1	0.334667	1	1	1	0.700999947695979	1	1
RTN4	ENSG00000115310	2	55199325	55339757	0.22024	0.128	0.397	1	1	1	1	1	1	1	1
ZBTB46	ENSG00000130584	20	62375019	62462597	0.17361	0.085	0.397	1	0.262174	1	1	1	0.613158622816961	1	1
COPG1	ENSG00000181789	3	128968449	128996614	0.23964	0.15	0.397	1	1	1	1	1	1	1	1
DNAJB6	ENSG00000105993	7	157128075	157210133	0.15377	0.069	0.397	1	1	1	1	1	1	1	1
EPN2	ENSG00000072134	17	19118928	19240028	0.18868	0.098	0.397	1	1	1	1	1	1	1	1
FOXK1	ENSG00000164916	7	4683388	4811074	0.17404	0.085	0.398	1	0.118288	1	1	1	0.370789462409401	1	1
GCH1	ENSG00000131979	14	55308726	55369570	0.083843	0.029	0.398	1	0.0410959	1	1	1	0.172267721804572	1	1
KIAA1432	ENSG00000107036	9	5629025	5776557	0.27608	0.195	0.398	1	1	1	1	1	1	1	1
SHISA6	ENSG00000188803	17	11144580	11467380	0.15397	0.069	0.398	1	1	1	1	1	1	1	1
KCNN1	ENSG00000105642	19	18062102	18110889	0.15381	0.069	0.398	1	1	1	1	1	1	1	1
SDK1	ENSG00000146555	7	3341080	4308632	0.29493	0.221	0.398	1	1	1	1	1	1	1	1
KNDC1	ENSG00000171798	10	134973951	135039916	0.27357	0.191	0.398	1	0.00049995	0.0758044248998189	1	0.0758044248998189	0.000423727140370981	1	0.0404938477137244
TMEM63C	ENSG00000165548	14	77582911	77725838	0.23467	0.144	0.398	1	1	1	1	1	1	1	1
USP43	ENSG00000154914	17	9548015	9633008	0.24075	0.151	0.398	1	1	1	1	1	1	1	1
SYT3	ENSG00000213023	19	51124564	51171651	0.17372	0.085	0.398	1	1	1	1	1	1	1	1
NCAN	ENSG00000130287	19	19322782	19363042	0.25061	0.162	0.398	1	0.342366	1	1	1	0.709339535266542	1	1
PPIL3	ENSG00000240344	2	201735630	201754026	0	0	0.398	1	0.121888	1	1	1	0.378419906918552	1	1
MKX	ENSG00000150051	10	27961804	28034989	0.12652	0.051	0.398	1	0.0122988	0.0423566171537552	1	0.0423566171537552	0.00445914809705513	1	0.12246389988436
MXRA5	ENSG00000101825	X	3226606	3264682	0.25461	0.167	0.398	1	1	1	1	1	1	1	1
TAF15	ENSG00000172660	17	34136459	34191619	0.24059	0.15	0.398	1	1	1	1	1	1	1	1
KIAA1107	ENSG00000069712	1	92632542	92650280	0.24055	0.15	0.398	1	0.339866	1	1	1	0.70665069796248	1	1
SNRNP40	ENSG00000060688	1	31732417	31769662	0.15406	0.069	0.398	1	1	1	1	1	1	1	1
KLHL36	ENSG00000135686	16	84682131	84701292	0.17382	0.085	0.398	1	0.116088	1	1	1	0.36607268335045	1	1
LRRC4B	ENSG00000131409	19	51020149	51071302	0.12653	0.051	0.398	1	1	1	1	1	1	1	1
HLX	ENSG00000136630	1	221051699	221058401	0.12675	0.051	0.399	1	1	1	1	1	1	1	1
RGS6	ENSG00000182732	14	72399156	73030654	0.22099	0.129	0.399	1	1	1	1	1	1	1	1
PI4K2A	ENSG00000155252	10	99344131	99436191	0.17418	0.085	0.399	1	0.118588	1	1	1	0.371429472188223	1	1
SF3A2	ENSG00000104897	19	2236520	2248678	0.12675	0.051	0.399	1	0.00839916	1	1	1	0.0485439831725133	1	0.610680763409396
LCP1	ENSG00000136167	13	46700055	46786006	0.21224	0.12	0.399	1	1	0.0119943417078417	0.0146741635244669	0.0119943417078417	0.0650491564463927	1	0.765607621989464
ZNF598	ENSG00000167962	16	2047655	2059824	0.21255	0.12	0.399	1	0.00089991	1	1	1	0.0072111730302543	1	0.167797440802172
GABRG2	ENSG00000113327	5	161494546	161582542	0.18958	0.098	0.399	1	0.337366	1	1	1	0.70394347089197	1	1
JAKMIP3	ENSG00000188385	10	133918175	133998313	0.25082	0.162	0.399	1	0.00019998	1	1	1	0.00190326829341939	1	0.0635596919528657
ADARB1	ENSG00000197381	21	46493768	46646478	0.17427	0.085	0.399	1	0.118988	1	1	1	0.37228163833211	1	1
KRT1	ENSG00000167768	12	53068520	53074191	0.1898	0.098	0.399	1	1	0.0471690471391426	1	0.0471690471391426	0.19122413701613	1	1
DCAF10	ENSG00000122741	9	37800499	37867663	0.17423	0.085	0.399	1	1	1	1	1	1	1	1
ATR	ENSG00000175054	3	142168077	142297668	0.30912	0.241	0.399	1	0.0353965	1	0.0618429861931417	0.0618429861931417	0.0155952703026536	1	0.272818795489391
XPNPEP1	ENSG00000108039	10	111624524	111683311	0.22856	0.137	0.399	1	0.0137986	1	1	1	0.0729005998857234	1	0.769735870491773
PDZD4	ENSG00000067840	X	153067621	153096020	0.15475	0.069	0.4	1	1	1	1	1	1	1	1
ZSWIM5	ENSG00000162415	1	45482071	45771881	0.25563	0.168	0.4	1	1	1	1	1	1	1	1
USP31	ENSG00000103404	16	23072727	23160591	0.25186	0.163	0.4	1	0.344566	1	1	1	0.711690606764682	1	1
ZNF106	ENSG00000103994	15	42705021	42783321	0.28638	0.208	0.4	1	1	1	1	1	1	1	1
GPR116	ENSG00000069122	6	46820249	46922680	0.2596	0.173	0.4	1	1	1	1	1	1	1	1
LAPTM5	ENSG00000162511	1	31205316	31230667	0.08437	0.029	0.4	1	1	1	1	1	1	1	1
NCAM2	ENSG00000154654	21	22370633	22915650	0.23572	0.144	0.4	1	1	1	1	1	1	1	1
PRKCZ	ENSG00000067606	1	1981909	2116834	0.21305	0.12	0.4	1	0.00749925	1	1	1	0.044192722261604	1	0.580024252313917
PRPF40A	ENSG00000196504	2	153508107	153574511	0.25584	0.168	0.4	1	1	1	1	1	1	1	1
CIZ1	ENSG00000148337	9	130928343	130966662	0.25164	0.163	0.4	1	1	1	1	1	1	1	1
SMAD3	ENSG00000166949	15	67356101	67487533	0.17497	0.085	0.4	1	1	1	1	1	1	1	1
CLINT1	ENSG00000113282	5	157212751	157286183	0.21345	0.12	0.401	1	1	1	1	1	1	1	1
KCNK3	ENSG00000171303	2	26915619	26956288	0.084425	0.029	0.401	1	1	1	1	1	1	1	1
PCDH17	ENSG00000118946	13	58205944	58303445	0.20303	0.11	0.401	1	1	1	1	1	1	1	1
GCLC	ENSG00000001084	6	53362139	53481768	0.22197	0.129	0.401	1	1	1	1	1	1	1	1
AJUBA	ENSG00000129474	14	23440383	23451851	0.17507	0.085	0.401	1	1	1	1	1	1	1	1
STX5	ENSG00000162236	11	62574369	62599560	0.15566	0.07	0.402	1	1	1	1	1	1	1	1
SLAIN2	ENSG00000109171	4	48343339	48428229	0.17558	0.085	0.402	1	1	1	1	1	1	1	1
EDRF1	ENSG00000107938	10	127408084	127452712	0.27107	0.186	0.402	1	0.0129987	1	1	1	0.0694508312670677	1	0.769735870491773
GARS	ENSG00000106105	7	30634297	30673649	0.23046	0.138	0.402	1	1	1	1	1	1	1	1
PPM1H	ENSG00000111110	12	63037762	63328817	0.1757	0.086	0.402	1	0.0384962	1	1	1	0.163885858794721	1	1
LUZP1	ENSG00000169641	1	23410516	23504301	0.21385	0.121	0.402	1	0.119488	1	1	1	0.373344955590041	1	1
ARF1	ENSG00000143761	1	228270361	228286912	0	0	0.402	1	1	1	1	1	1	1	1
SORBS2	ENSG00000154556	4	186506598	186877806	0.25695	0.169	0.402	1	0.550145	1	1	1	0.878897017668744	1	1
TCF25	ENSG00000141002	16	89940000	89977792	0.22275	0.13	0.402	1	0.0181982	1	1	1	0.0911080615755221	1	0.867990798047294
CLSPN	ENSG00000092853	1	36185819	36235568	0.27375	0.19	0.402	1	1	1	1	1	1	1	1
AATK	ENSG00000181409	17	79091095	79139877	0.23786	0.146	0.403	1	1	1	1	1	1	1	1
PCYT1B	ENSG00000102230	X	24576204	24690794	0.085046	0.029	0.403	1	1	1	1	1	1	1	1
HECTD3	ENSG00000126107	1	45468212	45477001	0.24877	0.158	0.403	1	1	1	1	1	1	1	1
AXIN1	ENSG00000103126	16	337440	402673	0.2233	0.13	0.403	1	0.108789	1	1	1	0.350120539928685	1	1
N4BP1	ENSG00000102921	16	48572637	48654059	0.20462	0.111	0.404	1	1	0.0416322692796918	1	0.0416322692796918	0.173976245314997	1	1
TANK	ENSG00000136560	2	161993419	162092732	0.15642	0.07	0.404	1	1	1	1	1	1	1	1
RORA	ENSG00000069667	15	60780483	61521518	0.22376	0.13	0.404	1	1	1	1	1	1	1	1
TNKS	ENSG00000173273	8	9413424	9639856	0.26592	0.179	0.404	1	9.999e-05	1	1	1	0.00102094193329388	1	0.0404938477137244
AP1M1	ENSG00000072958	19	16308389	16346160	0.19213	0.099	0.404	1	0.119188	1	1	1	0.372707216868286	1	1
CDH5	ENSG00000179776	16	66400533	66438686	0.21501	0.121	0.404	1	0.113889	1	1	1	0.361316381821775	1	1
NOP56	ENSG00000101361	20	2632791	2639039	0.20459	0.111	0.404	1	1	1	1	1	1	1	1
TMEM55B	ENSG00000165782	14	20925878	20929771	0.12846	0.052	0.404	1	0.342366	1	1	1	0.709339535266542	1	1
LAMP1	ENSG00000185896	13	113951556	113977987	0.12848	0.052	0.404	1	9.999e-05	1	1	1	0.00102094193329388	1	0.0404938477137244
WNT3	ENSG00000108379	17	44839872	44910520	0.12839	0.051	0.404	1	1	1	1	1	1	1	1
AKAP9	ENSG00000127914	7	91570181	91739987	0.3318	0.273	0.404	1	0.118288	1	1	1	0.370789462409401	1	1
CHSY1	ENSG00000131873	15	101715928	101792137	0.19258	0.1	0.405	1	9.999e-05	1	1	1	0.00102094193329388	1	0.0404938477137244
JAZF1	ENSG00000153814	7	27870192	28220362	0.085341	0.029	0.405	1	1	1	1	1	1	1	1
IRF2BPL	ENSG00000119669	14	77490888	77495034	0.15675	0.07	0.405	1	1	1	1	1	1	1	1
METTL16	ENSG00000127804	17	2308856	2415185	0.20532	0.111	0.405	1	0.118088	1	1	1	0.370362366645136	1	1
UBA3	ENSG00000144744	3	69103881	69129559	0.21565	0.122	0.405	1	0.341966	1	1	1	0.70891055153194	1	1
SHISA9	ENSG00000237515	16	12995477	13334272	0.12881	0.052	0.405	1	1	1	1	1	1	1	1
SZT2	ENSG00000198198	1	43855553	43918321	0.32693	0.265	0.405	1	1	1	1	1	1	1	1
TSPYL2	ENSG00000184205	X	53111549	53117722	0.12864	0.052	0.405	1	1	1	1	1	1	1	1
ZBED4	ENSG00000100426	22	50247490	50283726	0.21545	0.122	0.405	1	0.00039996	1	1	1	0.00352930544050202	1	0.100522368755664
DISP2	ENSG00000140323	15	40650436	40663257	0.23855	0.146	0.405	1	0.337366	1	1	1	0.70394347089197	1	1
HDAC1	ENSG00000116478	1	32757687	32799236	0.20512	0.111	0.405	1	1	1	1	1	1	1	1
ARHGAP36	ENSG00000147256	X	130192216	130223857	0.12878	0.052	0.405	1	1	1	1	1	1	1	1
